"eventName","eventDate","platform","postType","postContent","postUrl","postAuthor","postLikes","postComments","postShares","postSentiment","postDate","postEngagement","relevanceScore","commentAuthor","commentText","commentLikes","commentDate","issues","praise","aspects"
"Techvistara 5.0","2025-11-12","instagram","post","API - Behind every smooth app... an API is doing the heavy lifting. Every time you use an app that feels seamless, an API is working quietly in the background. It's the hidden bridge that connects apps, data, and systems together. VC- @dibbikadabba #api #appdevelopment #techbehindthescenes #softwareengineering #codelife #webdevelopment #codeshack #techhubcommunity #sirmvit #techx7 #glugmvit (API, application programming interface, backend, development, integration, digital infrastructure, codeshack, Techhub-Community, sirmvit, techx7, glug_mvit)","https://www.instagram.com/p/DRUitaXCGjJ/","codeshack_community",32,0,0,"neutral","2025-11-21T13:59:47",32,0,"","",0,"","","",""
"Techvistara 5.0","2025-11-12","instagram","post","Python - The easiest start to the smartest future. Python is the perfect first step into coding. It's simple, powerful, and opens doors to Al, automation, and data science-basically, the language of the future. VC- @disha_manjunath_ #python #pythonprogramming #learntocode #codingjourney #techskills #futureready #codeshack #techhub_community #mvit #techx7 #glugmvit ( python, python coding, programming, coding, beginner programming, tech skill, code learning, codeshack, Techhub-Community, sirmvit, techx7, glug_mvit )","https://www.instagram.com/p/DRR3J1vCBrG/","codeshack_community",59,0,0,"neutral","2025-11-20T12:59:50",59,0,"","",0,"","","",""
"Techvistara 5.0","2025-11-12","instagram","post","Al agents are smart helpers designed to handle repetitive tasks for you. By taking care of the busywork, they let you focus on the work that truly matters and boost your productivity like never before Vc- aashrith #alagents #intelligentagents #worksmarter #productivityhacks #taskautomation #techassist #codeshack #techhubcommunity #sirmvit #techx7 #glugmvit (Al agents, intelligent agents, productivity, automation, digital assistant, smart workspace, codeshack, Techhub-Community, sirmvit, techx7, glug_mvit)","https://www.instagram.com/p/DRPg99UCBjS/","codeshack_community",54,0,0,"neutral","2025-11-19T15:16:32",54,0,"","",0,"","","",""
"Techvistara 5.0","2025-11-12","instagram","post","Behind the scenes: where the real madness happens. VC-@shals146 #techvistara #codeshack #techhub_community #glugmvit #coding #mvit #programming #bts #behindthescenes🎬 #events #tech #learntocode #artificialintelligence #webdevelop #cybersecurity #vibecoding #appdev (TV5.0, TechVistara 5.0 CodeShack,Techhub-Community, glug_mvit,coding,mvit,smvit,programming,bts,behindthescenes,events,tech,learntocode,AI,ArtificialIntelligence,Webdev,Cybersecurity,VibeCoding","https://www.instagram.com/p/DRKJ5fpgWhi/","codeshack_community",153,0,0,"neutral","2025-11-17T13:08:13",153,0,"","",0,"","","",""
"Techvistara 5.0","2025-11-12","instagram","post","The moments, the energy, the legacy. This was TechVistara 5.0 🔥 VC- Aashrith #techvistara #codeshack #techhub_community #glugmvit #coding #mvit #programming #highlights #events #tech #lerntocode (TV5.0, TechVistara 5.0 CodeShack,Techhub-Community, glug_mvit, coding,mvit,smvit,programming,highlights,events,tech,learntocode)","https://www.instagram.com/p/DRHgFH5COMx/","codeshack_community",240,0,0,"neutral","2025-11-16T12:31:23",240,0,"","",0,"","","",""
"Techvistara 5.0","2025-11-12","instagram","post","The wait's almost over! Get your last-minute doubts cleared today. Tomorrow, the code revolution begins - TechVistara 5.0 is calling! VC-@disha_manjunath_ #codeshack #glugmvit #techhub_community #mvit #coding #programming #techenthusiast #waiting #1daytogo #techvistara #techevent #code #revolution #tomorrow ( codeshack, glugmvit, techhub_community, mvit, coding, programming, techenthusiast, waiting, 1daytogotechvistara, techevent, code, revolution, tomorrow )","https://www.instagram.com/p/DQ5u9RogROi/","codeshack_community",95,0,0,"neutral","2025-11-11T04:14:55",95,0,"","",0,"","","",""
"Techvistara 5.0","2025-11-12","instagram","post","TechVistara 5.0 receives heartfelt appreciation from our Honourable Principal sir, motivating us to push boundaries.🚀 #sirmvit #codeshack #glug #techhub #coding #event #orientation #speech #tech #domain #principal ( glug, mvit , speech , techhub, event , ai , web , dsa , app , gamedev , tech , orientation)","https://www.instagram.com/p/DQ4LrMtgWc-/","codeshack_community",234,0,0,"neutral","2025-11-10T13:38:32",234,0,"","",0,"","","",""
"Techvistara 5.0","2025-11-12","instagram","post","The voices behind TechVistara 5.0 - turning learning into experiences , memories and feelings. Vc- @dibbikadabba #glugmvit #codeshack #techhub_community #mvit #coding #programming #techenthusiast #speaker #techvistara #tech #techevent #learntocode #learning #experience (glugmvit, codeshack, techhub_community, mvit, coding, programming, techenthusiast, speaker, techvistara, tech, techevent, learntocode, learning, experience)","https://www.instagram.com/p/DQ3g2CDAQt6/","codeshack_community",189,0,0,"neutral","2025-11-10T07:31:02",189,0,"","",0,"","","",""
"Techvistara 5.0","2025-11-12","instagram","post","Our sincerest apologies for raising the bar this high. TechVistara 5.0 just couldn’t stay average.🚀 #coding #tech #mvit #glug #techhub #codeshack #appology #trend #event (official apology statement, viral , tech , coding , codeshack , trend , event)","https://www.instagram.com/p/DQ1t6UjAdWk/","codeshack_community",93,0,0,"neutral","2025-11-09T14:37:56",93,0,"","",0,"","","",""
"Techvistara 5.0","2025-11-12","instagram","post","The countdown has started. The question is - are YOU ready for it? VC-@div14nshu #techvistara #codeshack #techevent #collegeevent #codingchallenge #glugmvit #techhub_community #techenthusiast #technologies #techtalk #games #quizzes #roadmap #webdev #appdev #dsa #gamedev #cybersecurity #viral #3daystogo #countdown (techvistara, codeshack, techevent, collegeevent, codingchallenge, glugmvit, techhub_community, codeshack, techenthusiast, technologies, techtalk, games, quizzes, roadmap, webdev, appdev, dsa, gamedev, cybersecurity, 3daystigo, countdown)","https://www.instagram.com/p/DQ0wEtIiO4k/","codeshack_community",215,0,0,"neutral","2025-11-09T05:41:32",215,0,"","",0,"","","",""
"Techvistara 5.0","2025-11-12","instagram","post","🔥 WE ARE BACK! 🔥 Codeshack, in collaboration with techhub COMMUNITY and GLUG MVIT, brings you... ✨ TECH VISTARA 5.0 ✨ Get hyped for the most thrilling event yet! We're talking: Insightful Tech Talks Fun Games & Quizzes Career Roadmaps ...and TONS of exciting prizes! Don't miss out! 🗓️ Date: 12 November ⏰ Time: 1:15 PM Onwards 📍 Venue: New Auditorium VC - @div14nshu #techvistara #codeshack #techevent #collegeevent #codingchallenge #glugmvit #techhub_community #codeshack #techenthusiast #technologies #techtalk #games #quizzes #roadmap #webdev #appdev #dsa #gamedev #cybersecurity #viral ( techvistara, codeshack, techevent, collegeevent, codingchallenge, glugmvit, techhub_community, codeshack, techenthusiast, technologies, techtalk, games, quizzes, roadmap, webdev, appdev, dsa, gamedev, cybersecurity )","https://www.instagram.com/p/DQwkPG6CCnh/","codeshack_community",103,0,0,"neutral","2025-11-07T14:44:34",103,0,"","",0,"","","",""
"Techvistara 5.0","2025-11-12","instagram","post","TechVistara 5.0 — Where code meets creativity and ideas spark innovation! 🚀 Dive into the world of tech, explore every domain, and build the future 👨‍💻 📅 Nov 12 🕰️1:00 PM onwards 📍 Venue: New Auditorium Gear up for swags, surprises, and brag-worthy prizes! 📝 Register now — link in bio! #glug #mvit #techhub #coding #techdomains #orientation #ai #poster #tech #technews #events (tech, orientation, sirmvit, ai , coding , technology)","https://www.instagram.com/p/DQvnQZXgX-6/","codeshack_community",75,0,0,"neutral","2025-11-07T05:44:20",75,0,"","",0,"","","",""
